name,cuisine,price,rating,city,area,restaurant_link,status,has_online_delivery,has_table_booking,cuisine_count,area_popularity,cost_numeric,cost_category,restaurant_type
Zodiac - All Day Dining - Fortune Airport Road Kochi Member ITC Hotel's Group,"North Indian, Chinese, South Indian, Continental, Mughlai, Burger, Sandwich","₹2,000 for two",3.1,kochi,aluva,https://www.zomato.com/kochi/zodiac-all-day-dining-fortune-airport-road-kochi-member-itc-hotels-group-nedumbassery/info,Closed,Yes,Yes,7,18,2000,High,Luxury
Thalassery Kitchen,"North Indian, Kerala, South Indian, Chinese, Street Food, Beverages",₹500 for two,3.9,kochi,aluva,https://www.zomato.com/kochi/thalassery-kitchen-aluva/info,Open,No,Yes,6,18,500,Low,Casual
Ila Restaurant Beirut Cafe,"Chinese, South Indian, Kerala",₹400 for two,4,kochi,aluva,https://www.zomato.com/kochi/ila-restaurant-beirut-cafe-aluva/info,Open,No,Yes,3,18,400,Low,Casual
Paradise Restaurant,"Kerala, Biryani",₹300 for two,,kochi,aluva,https://www.zomato.com/kochi/paradise-restaurant-aluva/info,Closed,No,Yes,2,18,300,Low,Casual
Fortune Deli - Fortune Airport Road Kochi Member ITC Hotel's Group,"Coffee, Tea, Shake, Cafe, Bakery, Sandwich, Juices",₹700 for two,,kochi,aluva,https://www.zomato.com/kochi/fortune-deli-fortune-airport-road-kochi-member-itc-hotels-group-nedumbassery/info,Open,Yes,Yes,7,18,700,Medium,Premium
Meenchatti Restaurant,"Kerala, North Indian, Chinese, Sichuan, Beverages",₹300 for two,3.6,kochi,aluva,https://www.zomato.com/kochi/meenchatti-restaurant-1-aluva/info,Open,Yes,No,5,18,300,Low,Casual
Nosh Haus,"Cafe, Coffee, Pizza, Burger, Sandwich, Salad, Desserts","₹1,000 for two",4.2,kochi,aluva,https://www.zomato.com/kochi/nosh-haus-3-aluva/info,Open,Yes,Yes,7,18,1000,Medium,Premium
Surya Restaurant,"North Indian, Biryani, Chinese, Sichuan, Ice Cream, Beverages",₹500 for two,3.7,kochi,aluva,https://www.zomato.com/kochi/surya-restaurant-aluva/info,Open,Yes,No,6,18,500,Low,Casual
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts","₹2,500 for two",4.4,kochi,tripunithura,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,Closed,No,No,8,18,2500,High,Luxury
Mosaic By Crowne Plaza Kochi,"Kerala, Continental, North Indian, South Indian, Chinese, Italian, Desserts, Beverages","₹3,000 for two",4.4,kochi,tripunithura,https://www.zomato.com/kochi/mosaic-by-crowne-plaza-kochi-marad/info,Open,No,No,8,18,3000,High,Luxury
Artiste- The Restaurant,"South Indian, North Indian, Asian, Kerala, Continental, Italian","₹1,200 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/artiste-the-restaurant-marad/info,Open,Yes,Yes,6,18,1200,Medium,Premium
Pandhal Café & Deli,"Coffee, Fast Food, Italian, Beverages, Cafe, Continental","₹1,500 for two",4.6,kochi,tripunithura,https://www.zomato.com/kochi/pandhal-café-deli-kadavanthra/info,Open,Yes,Yes,6,18,1500,High,Luxury
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Closed,Yes,No,7,18,2000,High,Luxury
Mullapanthal Toddy Shop,"Kerala, Seafood",₹500 for two,4.4,kochi,tripunithura,https://www.zomato.com/kochi/mullapanthal-toddy-shop-tripunithura/info,Open,Yes,Yes,2,18,500,Low,Casual
Hill Palace Hotel,"South Indian, North Indian, Mughlai, Chinese",₹500 for two,,kochi,tripunithura,https://www.zomato.com/kochi/hill-palace-hotel-1-tripunithura/info,Closed,Yes,No,4,18,500,Low,Casual
Sree Muruga Cafe,"Kerala, South Indian",₹350 for two,3.9,kochi,tripunithura,https://www.zomato.com/kochi/sree-muruga-cafe-marad/info,Closed,No,No,2,18,350,Low,Casual
Madhuban - North Indian Pure Veg,"North Indian, Desserts, Street Food, Gujarati",₹200 for two,,kochi,tripunithura,https://www.zomato.com/kochi/madhuban-north-indian-pure-veg-panampilly-nagar/info,Open,Yes,No,4,18,200,Low,Casual
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts","₹2,500 for two",4.4,kochi,tripunithura,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,Closed,No,Yes,8,18,2500,High,Luxury
Mosaic By Crowne Plaza Kochi,"Kerala, Continental, North Indian, South Indian, Chinese, Italian, Desserts, Beverages","₹3,000 for two",4.4,kochi,tripunithura,https://www.zomato.com/kochi/mosaic-by-crowne-plaza-kochi-marad/info,Open,Yes,Yes,8,18,3000,High,Luxury
Artiste- The Restaurant,"South Indian, North Indian, Asian, Kerala, Continental, Italian","₹1,200 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/artiste-the-restaurant-marad/info,Closed,Yes,Yes,6,18,1200,Medium,Premium
Pandhal Café & Deli,"Coffee, Fast Food, Italian, Beverages, Cafe, Continental","₹1,500 for two",4.6,kochi,tripunithura,https://www.zomato.com/kochi/pandhal-café-deli-kadavanthra/info,Open,No,Yes,6,18,1500,High,Luxury
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,tripunithura,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Closed,Yes,No,7,18,2000,High,Luxury
Mullapanthal Toddy Shop,"Kerala, Seafood",₹500 for two,4.4,kochi,tripunithura,https://www.zomato.com/kochi/mullapanthal-toddy-shop-tripunithura/info,Open,No,Yes,2,18,500,Low,Casual
Hill Palace Hotel,"South Indian, North Indian, Mughlai, Chinese",₹500 for two,,kochi,tripunithura,https://www.zomato.com/kochi/hill-palace-hotel-1-tripunithura/info,Closed,Yes,No,4,18,500,Low,Casual
Sree Muruga Cafe,"Kerala, South Indian",₹350 for two,3.9,kochi,tripunithura,https://www.zomato.com/kochi/sree-muruga-cafe-marad/info,Open,No,No,2,18,350,Low,Casual
Madhuban - North Indian Pure Veg,"North Indian, Desserts, Street Food, Gujarati",₹200 for two,,kochi,tripunithura,https://www.zomato.com/kochi/madhuban-north-indian-pure-veg-panampilly-nagar/info,Open,No,Yes,4,18,200,Low,Casual
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,palarivattom,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,No,No,6,18,2500,High,Luxury
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,palarivattom,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Closed,No,No,5,18,2500,High,Luxury
French Toast,"Sandwich, Beverages, Italian, Continental, Salad, Fast Food",₹850 for two,4.7,kochi,palarivattom,https://www.zomato.com/kochi/french-toast-panampilly-nagar/info,Open,Yes,No,6,18,850,Medium,Premium
Pandhal Café & Deli,"Coffee, Fast Food, Italian, Beverages, Cafe, Continental","₹1,500 for two",4.6,kochi,palarivattom,https://www.zomato.com/kochi/pandhal-café-deli-kadavanthra/info,Open,Yes,Yes,6,18,1500,High,Luxury
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,palarivattom,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,No,No,6,18,600,Low,Casual
90 Million Coffee,"Cafe, Sandwich, Continental, Salad, Coffee, French, Tea, Desserts","₹1,000 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/90-million-coffee-kaloor/info,Open,Yes,Yes,8,18,1000,Medium,Premium
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Closed,Yes,No,6,18,1200,Medium,Premium
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,palarivattom,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Closed,Yes,Yes,7,18,2000,High,Luxury
Alakapuri,"Kerala, South Indian, Chinese, Beverages",₹350 for two,4.1,kochi,palarivattom,https://www.zomato.com/kochi/alakapuri-kakkanad/info,Open,Yes,Yes,4,18,350,Low,Casual
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,palarivattom,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,No,No,6,18,2500,High,Luxury
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,palarivattom,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,No,Yes,5,18,2500,High,Luxury
French Toast,"Sandwich, Beverages, Italian, Continental, Salad, Fast Food",₹850 for two,4.7,kochi,palarivattom,https://www.zomato.com/kochi/french-toast-panampilly-nagar/info,Open,Yes,No,6,18,850,Medium,Premium
Pandhal Café & Deli,"Coffee, Fast Food, Italian, Beverages, Cafe, Continental","₹1,500 for two",4.6,kochi,palarivattom,https://www.zomato.com/kochi/pandhal-café-deli-kadavanthra/info,Open,Yes,No,6,18,1500,High,Luxury
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,palarivattom,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,Yes,No,6,18,600,Low,Casual
90 Million Coffee,"Cafe, Sandwich, Continental, Salad, Coffee, French, Tea, Desserts","₹1,000 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/90-million-coffee-kaloor/info,Open,No,No,8,18,1000,Medium,Premium
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,No,No,6,18,1200,Medium,Premium
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,palarivattom,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Closed,No,Yes,7,18,2000,High,Luxury
Alakapuri,"Kerala, South Indian, Chinese, Beverages",₹350 for two,4.1,kochi,palarivattom,https://www.zomato.com/kochi/alakapuri-kakkanad/info,Closed,No,Yes,4,18,350,Low,Casual
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages","₹1,500 for two",4.2,kochi,ernakulam,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,Open,No,No,8,18,1500,High,Luxury
Cafe Coffee Day,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Desserts",₹500 for two,4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-coffee-day-ernakulam-city/info,Open,Yes,No,7,18,500,Low,Casual
Uncle Peter's Pancakes,"Pancake, Waffle, Desserts",₹350 for two,3.3,kochi,ernakulam,https://www.zomato.com/kochi/uncle-peters-pancakes-ernakulam-city/info,Open,No,Yes,3,18,350,Low,Casual
Ann's Bakery,"Bakery, Fast Food",₹300 for two,3.4,kochi,ernakulam,https://www.zomato.com/kochi/anns-bakery-ernakulam-city/info,Open,Yes,Yes,2,18,300,Low,Casual
Bikash Babu Premium,"North Indian, Mithai, Street Food",₹350 for two,4.4,kochi,ernakulam,https://www.zomato.com/kochi/bikash-babu-premium-ernakulam-city/info,Open,No,Yes,3,18,350,Low,Casual
Veg Bhavan,"South Indian, Biryani, Chinese, Beverages",₹350 for two,4.2,kochi,ernakulam,https://www.zomato.com/kochi/veg-bhavan-ernakulam-city/info,Open,Yes,Yes,4,18,350,Low,Casual
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,Yes,No,4,18,1000,Medium,Premium
Hotel Sree Abhirami,"South Indian, African, North Indian, Chinese, Fast Food, Beverages",₹550 for two,3.3,kochi,ernakulam,https://www.zomato.com/kochi/hotel-sree-abhirami-1-ernakulam-city/info,Open,Yes,Yes,6,18,550,Low,Casual
Shree Vinayaka Fast Food & Catering,"North Indian, Chinese, Fast Food, Beverages",₹300 for two,,kochi,ernakulam,https://www.zomato.com/kochi/shree-vinayaka-fast-food-catering-ernakulam-city/info,Open,No,No,4,18,300,Low,Casual
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages","₹1,500 for two",4.2,kochi,ernakulam,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,Open,Yes,Yes,8,18,1500,High,Luxury
Cafe Coffee Day,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Desserts",₹500 for two,4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-coffee-day-ernakulam-city/info,Closed,No,Yes,7,18,500,Low,Casual
Uncle Peter's Pancakes,"Pancake, Waffle, Desserts",₹350 for two,3.3,kochi,ernakulam,https://www.zomato.com/kochi/uncle-peters-pancakes-ernakulam-city/info,Open,Yes,No,3,18,350,Low,Casual
Ann's Bakery,"Bakery, Fast Food",₹300 for two,3.4,kochi,ernakulam,https://www.zomato.com/kochi/anns-bakery-ernakulam-city/info,Open,Yes,Yes,2,18,300,Low,Casual
Bikash Babu Premium,"North Indian, Mithai, Street Food",₹350 for two,4.4,kochi,ernakulam,https://www.zomato.com/kochi/bikash-babu-premium-ernakulam-city/info,Open,Yes,No,3,18,350,Low,Casual
Veg Bhavan,"South Indian, Biryani, Chinese, Beverages",₹350 for two,4.2,kochi,ernakulam,https://www.zomato.com/kochi/veg-bhavan-ernakulam-city/info,Closed,Yes,Yes,4,18,350,Low,Casual
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,Yes,Yes,4,18,1000,Medium,Premium
Hotel Sree Abhirami,"South Indian, African, North Indian, Chinese, Fast Food, Beverages",₹550 for two,3.3,kochi,ernakulam,https://www.zomato.com/kochi/hotel-sree-abhirami-1-ernakulam-city/info,Open,Yes,No,6,18,550,Low,Casual
Shree Vinayaka Fast Food & Catering,"North Indian, Chinese, Fast Food, Beverages",₹300 for two,,kochi,ernakulam,https://www.zomato.com/kochi/shree-vinayaka-fast-food-catering-ernakulam-city/info,Open,Yes,Yes,4,18,300,Low,Casual
Elevate Resto - Travancore Court,"North Indian, South Indian, Chinese","₹2,300 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/elevate-resto-travancore-court-pallimukku/info,Open,Yes,Yes,3,18,2300,High,Luxury
Colony Clubhouse & Grill - Grand Hyatt Kochi Bolgatty,"Continental, BBQ, Seafood","₹3,200 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/colony-clubhouse-grill-grand-hyatt-kochi-bolgatty-vypin/info,Open,No,Yes,3,18,3200,High,Luxury
Rasanai - From The Streets Of The South,"South Indian, Desserts",₹800 for two,4.1,kochi,mattancherry,https://www.zomato.com/kochi/rasanai-from-the-streets-of-the-south-panampilly-nagar/info,Open,No,No,2,18,800,Medium,Premium
Kashi Art Cafe,"Cafe, Coffee, Fast Food, Sandwich, European, Salad, Juices, Beverages","₹1,000 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/kashi-art-cafe-fort-kochi/info,Open,Yes,No,8,18,1000,Medium,Premium
Fort House Restaurant,"Seafood, Kerala, Fast Food, Desserts, Beverages","₹1,000 for two",4.5,kochi,mattancherry,https://www.zomato.com/kochi/fort-house-restaurant-fort-kochi/info,Open,No,No,5,18,1000,Medium,Premium
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,No,No,6,18,1500,High,Luxury
Pandhal Café & Deli - David Hall,"Cafe, Coffee, Italian, Continental, Desserts, Beverages",₹850 for two,4.6,kochi,mattancherry,https://www.zomato.com/kochi/pandhal-café-deli-david-hall-fort-kochi/info,Open,No,Yes,6,18,850,Medium,Premium
French Toast,"French, Pancake, Sandwich, Desserts","₹1,200 for two",4,kochi,mattancherry,https://www.zomato.com/kochi/french-toast-fort-kochi/info,Open,No,Yes,4,18,1200,Medium,Premium
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,mattancherry,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Open,Yes,Yes,6,18,1500,High,Luxury
Elevate Resto - Travancore Court,"North Indian, South Indian, Chinese","₹2,300 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/elevate-resto-travancore-court-pallimukku/info,Open,No,Yes,3,18,2300,High,Luxury
Colony Clubhouse & Grill - Grand Hyatt Kochi Bolgatty,"Continental, BBQ, Seafood","₹3,200 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/colony-clubhouse-grill-grand-hyatt-kochi-bolgatty-vypin/info,Open,No,Yes,3,18,3200,High,Luxury
Rasanai - From The Streets Of The South,"South Indian, Desserts",₹800 for two,4.1,kochi,mattancherry,https://www.zomato.com/kochi/rasanai-from-the-streets-of-the-south-panampilly-nagar/info,Open,Yes,No,2,18,800,Medium,Premium
Kashi Art Cafe,"Cafe, Coffee, Fast Food, Sandwich, European, Salad, Juices, Beverages","₹1,000 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/kashi-art-cafe-fort-kochi/info,Open,Yes,Yes,8,18,1000,Medium,Premium
Fort House Restaurant,"Seafood, Kerala, Fast Food, Desserts, Beverages","₹1,000 for two",4.5,kochi,mattancherry,https://www.zomato.com/kochi/fort-house-restaurant-fort-kochi/info,Open,No,Yes,5,18,1000,Medium,Premium
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,Yes,No,6,18,1500,High,Luxury
Pandhal Café & Deli - David Hall,"Cafe, Coffee, Italian, Continental, Desserts, Beverages",₹850 for two,4.6,kochi,mattancherry,https://www.zomato.com/kochi/pandhal-café-deli-david-hall-fort-kochi/info,Open,Yes,Yes,6,18,850,Medium,Premium
French Toast,"French, Pancake, Sandwich, Desserts","₹1,200 for two",4,kochi,mattancherry,https://www.zomato.com/kochi/french-toast-fort-kochi/info,Open,Yes,No,4,18,1200,Medium,Premium
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,mattancherry,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Closed,Yes,No,6,18,1500,High,Luxury
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",₹600 for two,4.5,kochi,kacheripady,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,Open,No,No,6,18,600,Low,Casual
TOT - Talk Of The Town,"Continental, North Indian, South Indian","₹1,000 for two",4.3,kochi,kacheripady,https://www.zomato.com/kochi/tot-talk-of-the-town-edappally/info,Open,Yes,No,3,18,1000,Medium,Premium
Kashi Art Cafe,"Cafe, Coffee, Fast Food, Sandwich, European, Salad, Juices, Beverages","₹1,000 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/kashi-art-cafe-fort-kochi/info,Open,Yes,Yes,8,18,1000,Medium,Premium
Fort House Restaurant,"Seafood, Kerala, Fast Food, Desserts, Beverages","₹1,000 for two",4.5,kochi,kacheripady,https://www.zomato.com/kochi/fort-house-restaurant-fort-kochi/info,Open,No,Yes,5,18,1000,Medium,Premium
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,No,Yes,6,18,1500,High,Luxury
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,kacheripady,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Closed,Yes,No,6,18,1500,High,Luxury
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,kacheripady,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Closed,No,Yes,5,18,2500,High,Luxury
French Toast,"Sandwich, Beverages, Italian, Continental, Salad, Fast Food",₹850 for two,4.7,kochi,kacheripady,https://www.zomato.com/kochi/french-toast-panampilly-nagar/info,Open,Yes,No,6,18,850,Medium,Premium
Pandhal Café & Deli,"Coffee, Fast Food, Italian, Beverages, Cafe, Continental","₹1,500 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/pandhal-café-deli-kadavanthra/info,Open,Yes,Yes,6,18,1500,High,Luxury
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",₹600 for two,4.5,kochi,kacheripady,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,Open,No,Yes,6,18,600,Low,Casual
TOT - Talk Of The Town,"Continental, North Indian, South Indian","₹1,000 for two",4.3,kochi,kacheripady,https://www.zomato.com/kochi/tot-talk-of-the-town-edappally/info,Open,No,Yes,3,18,1000,Medium,Premium
Kashi Art Cafe,"Cafe, Coffee, Fast Food, Sandwich, European, Salad, Juices, Beverages","₹1,000 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/kashi-art-cafe-fort-kochi/info,Open,No,No,8,18,1000,Medium,Premium
Fort House Restaurant,"Seafood, Kerala, Fast Food, Desserts, Beverages","₹1,000 for two",4.5,kochi,kacheripady,https://www.zomato.com/kochi/fort-house-restaurant-fort-kochi/info,Open,Yes,Yes,5,18,1000,Medium,Premium
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Closed,Yes,No,6,18,1500,High,Luxury
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,kacheripady,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Open,No,No,6,18,1500,High,Luxury
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,kacheripady,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,Yes,Yes,5,18,2500,High,Luxury
French Toast,"Sandwich, Beverages, Italian, Continental, Salad, Fast Food",₹850 for two,4.7,kochi,kacheripady,https://www.zomato.com/kochi/french-toast-panampilly-nagar/info,Open,Yes,Yes,6,18,850,Medium,Premium
Pandhal Café & Deli,"Coffee, Fast Food, Italian, Beverages, Cafe, Continental","₹1,500 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/pandhal-café-deli-kadavanthra/info,Open,No,Yes,6,18,1500,High,Luxury
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,edappally,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Open,Yes,No,6,18,2500,High,Luxury
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",₹600 for two,4.5,kochi,edappally,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,Open,No,No,6,18,600,Low,Casual
TOT - Talk Of The Town,"Continental, North Indian, South Indian","₹1,000 for two",4.3,kochi,edappally,https://www.zomato.com/kochi/tot-talk-of-the-town-edappally/info,Open,Yes,No,3,18,1000,Medium,Premium
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages","₹1,500 for two",4.2,kochi,edappally,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,Open,No,Yes,8,18,1500,High,Luxury
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,edappally,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Closed,Yes,No,5,18,2500,High,Luxury
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,edappally,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Closed,No,No,6,18,600,Low,Casual
