name,cuisine,price,rating,city,area,restaurant_link,status,has_online_delivery,has_table_booking
Royal Bakers & Restaurant,"Biryani, Kerala, Chinese, Bakery, Sichuan",₹850 for two,4.1,kochi,tripunithura,https://www.zomato.com/kochi/royal-bakers-restaurant-tripunithura/info,Closed,Yes,Yes
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,Yes,Yes
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,palarivattom,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,No,No
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,palarivattom,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,Yes,No
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,palarivattom,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,No,No
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,Yes,Yes
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,palarivattom,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Open,Yes,No
Alakapuri,"Kerala, South Indian, Chinese, Beverages",₹350 for two,4.1,kochi,palarivattom,https://www.zomato.com/kochi/alakapuri-kakkanad/info,Open,Yes,Yes
Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",₹900 for two,4.7,kochi,palarivattom,https://www.zomato.com/kochi/starbucks-coffee-panampilly-nagar/info,Open,Yes,No
The Pavilion - The Renai Cochin,Continental,"₹1,300 for two",4.2,kochi,palarivattom,https://www.zomato.com/kochi/the-pavilion-the-renai-cochin-palarivattom/info,Open,No,Yes
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,Yes
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,palarivattom,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,Yes,No
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,palarivattom,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,No,No
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,palarivattom,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,Yes,No
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,palarivattom,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,Yes,Yes
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,palarivattom,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Open,Yes,Yes
Alakapuri,"Kerala, South Indian, Chinese, Beverages",₹350 for two,4.1,kochi,palarivattom,https://www.zomato.com/kochi/alakapuri-kakkanad/info,Open,Yes,Yes
Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",₹900 for two,4.7,kochi,palarivattom,https://www.zomato.com/kochi/starbucks-coffee-panampilly-nagar/info,Open,No,No
The Pavilion - The Renai Cochin,Continental,"₹1,300 for two",4.2,kochi,palarivattom,https://www.zomato.com/kochi/the-pavilion-the-renai-cochin-palarivattom/info,Open,No,Yes
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,No
Cafe Coffee Day,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Desserts",₹500 for two,4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-coffee-day-ernakulam-city/info,Closed,Yes,Yes
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai","₹1,700 for two",4.4,kochi,ernakulam,https://www.zomato.com/kochi/punjab-grill-ernakulam-city/info,Open,Yes,No
Smoke Culture By Steve,"Salad, Fast Food",₹500 for two,3.3,kochi,ernakulam,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,Open,Yes,Yes
Veg Bhavan,"South Indian, Biryani, Chinese, Beverages",₹350 for two,4.2,kochi,ernakulam,https://www.zomato.com/kochi/veg-bhavan-ernakulam-city/info,Open,Yes,No
Hotel Sree Abhirami,"South Indian, African, North Indian, Chinese, Fast Food, Beverages",₹550 for two,3.4,kochi,ernakulam,https://www.zomato.com/kochi/hotel-sree-abhirami-1-ernakulam-city/info,Open,Yes,No
Club Shawaya Restaurant,"Biryani, Mandi, Arabian",₹600 for two,3,kochi,ernakulam,https://www.zomato.com/kochi/club-shawaya-restaurant-ernakulam-city/info,Open,Yes,No
Mezban Hotel,South Indian,₹300 for two,3.6,kochi,ernakulam,https://www.zomato.com/kochi/mezban-hotel-ernakulam-city/info,Open,Yes,Yes
Nala Taste,"Kerala, South Indian",₹400 for two,,kochi,ernakulam,https://www.zomato.com/kochi/nala-taste-ernakulam-city/info,Open,Yes,Yes
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,Yes
Cafe Coffee Day,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Desserts",₹500 for two,4,kochi,ernakulam,https://www.zomato.com/kochi/cafe-coffee-day-ernakulam-city/info,Open,No,No
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai","₹1,700 for two",4.4,kochi,ernakulam,https://www.zomato.com/kochi/punjab-grill-ernakulam-city/info,Open,No,Yes
Smoke Culture By Steve,"Salad, Fast Food",₹500 for two,3.3,kochi,ernakulam,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,Open,Yes,No
Veg Bhavan,"South Indian, Biryani, Chinese, Beverages",₹350 for two,4.2,kochi,ernakulam,https://www.zomato.com/kochi/veg-bhavan-ernakulam-city/info,Open,No,Yes
Hotel Sree Abhirami,"South Indian, African, North Indian, Chinese, Fast Food, Beverages",₹550 for two,3.4,kochi,ernakulam,https://www.zomato.com/kochi/hotel-sree-abhirami-1-ernakulam-city/info,Open,Yes,No
Club Shawaya Restaurant,"Biryani, Mandi, Arabian",₹600 for two,3,kochi,ernakulam,https://www.zomato.com/kochi/club-shawaya-restaurant-ernakulam-city/info,Open,Yes,No
Mezban Hotel,South Indian,₹300 for two,3.6,kochi,ernakulam,https://www.zomato.com/kochi/mezban-hotel-ernakulam-city/info,Open,No,No
Nala Taste,"Kerala, South Indian",₹400 for two,,kochi,ernakulam,https://www.zomato.com/kochi/nala-taste-ernakulam-city/info,Open,No,No
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,mattancherry,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,Yes
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,Yes,Yes
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,mattancherry,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Open,No,Yes
Pepper - Taj Malabar Resort & Spa,"Italian, Mediterranean, Continental, Sandwich, Fast Food, Salad, Desserts, Beverages","₹4,000 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/pepper-taj-malabar-resort-spa-willingdon-island/info,Open,Yes,Yes
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,mattancherry,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,Yes,No
Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",₹900 for two,4.7,kochi,mattancherry,https://www.zomato.com/kochi/starbucks-coffee-panampilly-nagar/info,Open,Yes,No
Feast - Travancore Court,"Kerala, Mughlai, Chinese, Continental, Salad, Desserts, Beverages","₹1,000 for two",4.4,kochi,mattancherry,https://www.zomato.com/kochi/feast-travancore-court-pallimukku/info,Open,No,No
Cafe Itallo,"Cafe, Coffee, Italian, Salad, Continental, Pasta, Desserts, Beverages",₹700 for two,4.1,kochi,mattancherry,https://www.zomato.com/kochi/cafe-itallo-panampilly-nagar/info,Open,No,No
Qissa Cafe,"Cafe, Continental, Sandwich, Fast Food, Beverages, Desserts",₹600 for two,4.1,kochi,mattancherry,https://www.zomato.com/kochi/qissa-cafe-fort-kochi/info,Open,No,No
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,mattancherry,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,No
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,Yes,Yes
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,mattancherry,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Open,No,Yes
Pepper - Taj Malabar Resort & Spa,"Italian, Mediterranean, Continental, Sandwich, Fast Food, Salad, Desserts, Beverages","₹4,000 for two",4.6,kochi,mattancherry,https://www.zomato.com/kochi/pepper-taj-malabar-resort-spa-willingdon-island/info,Open,No,Yes
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,mattancherry,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,Yes,No
Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",₹900 for two,4.7,kochi,mattancherry,https://www.zomato.com/kochi/starbucks-coffee-panampilly-nagar/info,Open,Yes,No
Feast - Travancore Court,"Kerala, Mughlai, Chinese, Continental, Salad, Desserts, Beverages","₹1,000 for two",4.4,kochi,mattancherry,https://www.zomato.com/kochi/feast-travancore-court-pallimukku/info,Open,No,Yes
Cafe Itallo,"Cafe, Coffee, Italian, Salad, Continental, Pasta, Desserts, Beverages",₹700 for two,4.1,kochi,mattancherry,https://www.zomato.com/kochi/cafe-itallo-panampilly-nagar/info,Open,Yes,Yes
Qissa Cafe,"Cafe, Continental, Sandwich, Fast Food, Beverages, Desserts",₹600 for two,4.1,kochi,mattancherry,https://www.zomato.com/kochi/qissa-cafe-fort-kochi/info,Open,No,Yes
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,kacheripady,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,Yes
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,No,No
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,kacheripady,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,No,No
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,kacheripady,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Open,No,Yes
Pepper - Taj Malabar Resort & Spa,"Italian, Mediterranean, Continental, Sandwich, Fast Food, Salad, Desserts, Beverages","₹4,000 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/pepper-taj-malabar-resort-spa-willingdon-island/info,Open,Yes,No
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,kacheripady,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,No,No
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,kacheripady,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Open,No,No
Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",₹900 for two,4.7,kochi,kacheripady,https://www.zomato.com/kochi/starbucks-coffee-panampilly-nagar/info,Open,Yes,Yes
The Pavilion - The Renai Cochin,Continental,"₹1,300 for two",4.2,kochi,kacheripady,https://www.zomato.com/kochi/the-pavilion-the-renai-cochin-palarivattom/info,Closed,Yes,Yes
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages","₹1,000 for two",4.4,kochi,kacheripady,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,Open,No,Yes
Jetty,"North Indian, Mughlai, Kerala, Seafood, Bar Food, Beverages","₹1,500 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/jetty-1-fort-kochi/info,Open,Yes,Yes
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,kacheripady,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,Yes,No
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",4.7,kochi,kacheripady,https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Open,Yes,No
Pepper - Taj Malabar Resort & Spa,"Italian, Mediterranean, Continental, Sandwich, Fast Food, Salad, Desserts, Beverages","₹4,000 for two",4.6,kochi,kacheripady,https://www.zomato.com/kochi/pepper-taj-malabar-resort-spa-willingdon-island/info,Open,Yes,Yes
The Springs - The Avenue Regent,"Continental, South Indian, North Indian, Kerala, Seafood, Desserts","₹1,200 for two",4.4,kochi,kacheripady,https://www.zomato.com/kochi/the-springs-the-avenue-regent-mg-road/info,Open,No,No
Keshia - Radisson Blu Kochi,"Kerala, Continental, Asian, North Indian, Pasta, Fast Food, Shake","₹2,000 for two",4.3,kochi,kacheripady,https://www.zomato.com/kochi/keshia-radisson-blu-kochi-elamkulam/info,Open,Yes,Yes
Starbucks Coffee,"Cafe, Coffee, Desserts, Beverages",₹900 for two,4.7,kochi,kacheripady,https://www.zomato.com/kochi/starbucks-coffee-panampilly-nagar/info,Open,Yes,No
The Pavilion - The Renai Cochin,Continental,"₹1,300 for two",4.2,kochi,kacheripady,https://www.zomato.com/kochi/the-pavilion-the-renai-cochin-palarivattom/info,Closed,Yes,Yes
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,edappally,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,No,Yes
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,edappally,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,Yes,No
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,edappally,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,No,Yes
Alakapuri,"Kerala, South Indian, Chinese, Beverages",₹350 for two,4.1,kochi,edappally,https://www.zomato.com/kochi/alakapuri-kakkanad/info,Open,Yes,Yes
The Pavilion - The Renai Cochin,Continental,"₹1,300 for two",4.2,kochi,edappally,https://www.zomato.com/kochi/the-pavilion-the-renai-cochin-palarivattom/info,Closed,Yes,Yes
SAMRIDHI @ KOCHI,"North Indian, South Indian, Biryani",₹250 for two,3.5,kochi,edappally,https://www.zomato.com/kochi/samridhi-@-kochi-kacherippady/info,Open,No,No
Cafe Coffee Day,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Desserts",₹500 for two,4,kochi,edappally,https://www.zomato.com/kochi/cafe-coffee-day-ernakulam-city/info,Open,Yes,Yes
Deli KC - Holiday Inn Cochin,"Cafe, Continental, Fast Food, Beverages, Desserts","₹1,100 for two",4.1,kochi,edappally,https://www.zomato.com/kochi/deli-kc-holiday-inn-cochin-vennala/info,Open,Yes,Yes
Brindhavan Vegetarian Restaurant,"North Indian, South Indian, Chinese, Street Food, Desserts, Shake, Beverages","₹1,000 for two",4.6,kochi,edappally,https://www.zomato.com/kochi/brindhavan-vegetarian-restaurant-vennala/info,Open,Yes,Yes
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,edappally,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,Yes,Yes
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,edappally,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,Yes,Yes
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,edappally,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,No,No
Alakapuri,"Kerala, South Indian, Chinese, Beverages",₹350 for two,4.1,kochi,edappally,https://www.zomato.com/kochi/alakapuri-kakkanad/info,Open,Yes,Yes
The Pavilion - The Renai Cochin,Continental,"₹1,300 for two",4.2,kochi,edappally,https://www.zomato.com/kochi/the-pavilion-the-renai-cochin-palarivattom/info,Closed,No,Yes
SAMRIDHI @ KOCHI,"North Indian, South Indian, Biryani",₹250 for two,3.5,kochi,edappally,https://www.zomato.com/kochi/samridhi-@-kochi-kacherippady/info,Closed,Yes,No
Cafe Coffee Day,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Desserts",₹500 for two,4,kochi,edappally,https://www.zomato.com/kochi/cafe-coffee-day-ernakulam-city/info,Open,Yes,No
Deli KC - Holiday Inn Cochin,"Cafe, Continental, Fast Food, Beverages, Desserts","₹1,100 for two",4.1,kochi,edappally,https://www.zomato.com/kochi/deli-kc-holiday-inn-cochin-vennala/info,Open,Yes,Yes
Brindhavan Vegetarian Restaurant,"North Indian, South Indian, Chinese, Street Food, Desserts, Shake, Beverages","₹1,000 for two",4.6,kochi,edappally,https://www.zomato.com/kochi/brindhavan-vegetarian-restaurant-vennala/info,Open,No,No
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹2,500 for two",4.6,kochi,kakkanad,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Closed,No,No
The Square - Novotel Kochi Infopark,"North Indian, Salad, Fast Food, Continental, Asian, Chettinad, Mediterranean, Kerala","₹3,000 for two",4,kochi,kakkanad,https://www.zomato.com/kochi/the-square-novotel-kochi-infopark-kakkanad/info,Open,No,Yes
Masala - Holiday Inn Cochin,"Kerala, Chinese, Italian, North Indian, Shake","₹2,500 for two",4.2,kochi,kakkanad,https://www.zomato.com/kochi/masala-holiday-inn-cochin-vennala/info,Open,Yes,Yes
The Eatery - Four Points by Sheraton,"North Indian, South Indian, Asian, BBQ, Continental, Kerala, Italian, Mexican","₹2,500 for two",4.3,kochi,kakkanad,https://www.zomato.com/kochi/the-eatery-four-points-by-sheraton-kakkanad/info,Open,No,No
The Voyager,"Continental, Fast Food, Burger, Pasta, Desserts, Beverages",₹600 for two,3.7,kochi,kakkanad,https://www.zomato.com/kochi/the-voyager-kakkanad/info,Open,No,Yes
